,x,y,hue
0,9.946546,-44.969856,6
1,45.80413,-16.84791,0
2,-19.657656,15.558491,5
3,-31.768038,30.872261,6
4,8.925047,-38.77618,6
5,-3.7183728,25.094727,5
6,-39.218105,19.406523,6
7,8.925094,-38.776253,6
8,25.598677,-33.37157,1
9,19.477524,45.07756,2
10,25.212122,43.014446,6
11,18.243093,-28.976517,0
12,-39.21811,19.406527,6
13,-8.7865305,-7.2309494,3
14,4.86489,-21.275888,0
15,6.0100245,-22.984657,0
16,-19.404469,16.626133,5
17,-3.0020378,-24.37769,1
18,-4.4784765,-15.752604,6
19,-0.2354037,-13.144335,3
20,16.789917,-32.41963,0
21,23.789322,-17.939766,7
22,0.6850947,-27.20347,1
23,52.961212,0.61164874,2
24,-4.5572195,-16.04743,6
25,-3.147505,-15.791662,2
26,11.163202,-19.477308,0
27,-22.263466,-3.6215587,2
28,13.774697,7.0001836,8
29,1.4340792,51.248325,5
30,-20.84579,29.68631,7
31,6.543052,-23.739088,0
32,-39.868423,18.254755,6
33,52.871387,0.6163616,2
34,55.401974,8.086707,6
35,-28.195145,35.91668,2
36,-34.23692,-33.847736,0
37,1.9226813,-17.351995,0
38,8.56755,-23.935976,0
39,-11.638073,-14.784237,3
40,-15.510311,3.5309114,5
41,3.59798,-50.538166,4
42,-0.37294924,46.5237,5
43,6.9613986,-1.3304068,5
44,20.22217,-35.433186,2
45,-23.01661,14.794303,2
46,-29.459972,-9.752883,2
47,0.44729117,-21.58091,3
48,12.038635,8.959439,8
49,-24.14558,-39.921204,9
50,-9.30932,-28.244286,1
51,-28.314924,-5.266584,2
52,49.581524,-17.903143,0
53,12.965776,0.3262869,5
54,-37.651985,15.646843,0
55,-19.51976,16.596258,5
56,16.99231,-19.799866,0
57,8.084721,-13.474084,7
58,10.60762,-2.1384723,0
59,-0.46961394,16.056608,5
60,-24.294353,-6.9068985,3
61,-19.037388,51.23614,0
62,-2.0468254,-53.78185,2
63,-19.62227,19.711481,5
64,-2.9030828,35.948116,5
65,47.93191,-13.376119,3
66,-1.6156282,-17.758455,3
67,-21.981358,-1.2194365,2
68,-21.912777,-33.558846,1
69,-48.1852,-13.39954,7
70,21.504782,-24.206583,0
71,2.7653482,-6.571192,5
72,-17.351295,7.87402,6
73,14.914319,-12.088822,0
74,-7.148803,-17.567926,1
75,-6.7790713,52.69693,5
76,39.393063,17.148333,4
77,-18.168142,39.727306,5
78,-31.902899,-28.590992,9
79,2.8546157,19.313433,6
80,14.884969,-18.166655,0
81,14.395641,-29.826595,0
82,14.287415,-30.69517,0
83,4.2052264,-7.669499,0
84,-19.717752,-22.633348,3
85,24.085794,-21.612581,0
86,-15.059853,5.042393,5
87,7.2826505,11.189359,6
88,16.52385,-21.677187,0
89,23.297146,44.637695,6
90,-24.970938,-39.372288,9
91,-17.195919,-43.464195,4
92,25.598677,-33.37157,1
93,51.127415,26.903992,9
94,-14.794054,-9.949624,2
95,-28.72854,2.92664,2
96,17.585217,21.98735,6
97,45.606644,9.869703,0
98,-25.031761,-25.271856,3
